window,scope,key,n,one_r_rate,two_r_rate,unresolved_rate,avg_mfe_24h_R,avg_mae_24h_R,expectancy_taker_R,expectancy_maker_R,median_time_to_1r_min,median_time_to_sl_min,n_symbols,top_symbol_share,top_day_share,verdict
14d,symbol_path,AVAX/USDT:USDT|15m_fast,7,0.0,0.0,1.0,0.46977092059932335,0.4132173749266708,-0.016017728983242694,-0.011212410288269884,,,1,1.0,0.5714285714285714,DO_NOT_ENABLE
14d,symbol_path,AVAX/USDT:USDT|aligned_trend,5,0.0,0.0,1.0,0.5772132772917571,0.45313755956043833,-0.016066385050307615,-0.011246469535215327,,,1,1.0,0.8,DO_NOT_ENABLE
14d,symbol_path,AVAX/USDT:USDT|adaptive_trend_route,7,0.0,0.0,0.8571428571428571,0.15123641299402274,0.6528847905160744,-0.16652423796722784,-0.15942410943420238,,570.0,1,1.0,0.2857142857142857,DO_NOT_ENABLE
14d,symbol_path,DOGE/USDT:USDT|4h_flip,2,0.0,0.0,1.0,0.6794771881543191,0.24355827825478277,-0.01898215921568285,-0.013287511450977993,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,DOGE/USDT:USDT|15m_fast,12,0.0,0.0,0.9166666666666666,0.47239198445424324,0.3857395090875107,-0.10472995129815793,-0.09831096590871054,,315.0,1,1.0,0.25,DO_NOT_ENABLE
14d,symbol_path,DOGE/USDT:USDT|1h_continuation,3,0.0,0.0,1.0,0.6997979783407885,0.17486990493919832,-0.018466709929150334,-0.012926696950405233,,,1,1.0,0.3333333333333333,DO_NOT_ENABLE
14d,symbol_path,DOGE/USDT:USDT|aligned_trend,4,0.0,0.0,1.0,0.6522872553572661,0.3156056595744248,-0.01769131007841172,-0.012383917054888205,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,DOGE/USDT:USDT|adaptive_trend_route,2,0.0,0.0,0.5,0.23723945924874357,0.915428355888344,-0.5248210141093775,-0.5173747098765642,,570.0,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,ETH/USDT:USDT|15m_fast,8,0.125,0.0,0.75,0.41724603076432343,0.5388308447701701,-0.1457542912438909,-0.13952800387072367,420.0,870.0,1,1.0,0.25,DO_NOT_ENABLE
14d,symbol_path,ETH/USDT:USDT|4h_flip,2,0.5,0.0,0.5,1.1458759196743307,0.11970842377691242,-0.022327156075196558,-0.015629009252637587,195.0,,1,1.0,0.5,DO_NOT_ENABLE
